,city,country,date.utc,location,parameter,value,unit
41,Antwerpen,BE,2019-05-20 11:00:00+00:00,BETR801,pm25,13.5,µg/m³
42,Antwerpen,BE,2019-05-20 10:00:00+00:00,BETR801,pm25,10.5,µg/m³
43,Antwerpen,BE,2019-05-20 09:00:00+00:00,BETR801,pm25,13.5,µg/m³
44,Antwerpen,BE,2019-05-20 08:00:00+00:00,BETR801,pm25,19.5,µg/m³
45,Antwerpen,BE,2019-05-20 07:00:00+00:00,BETR801,pm25,23.5,µg/m³
46,Antwerpen,BE,2019-05-20 06:00:00+00:00,BETR801,pm25,22.0,µg/m³
47,Antwerpen,BE,2019-05-20 05:00:00+00:00,BETR801,pm25,25.0,µg/m³
48,Antwerpen,BE,2019-05-20 04:00:00+00:00,BETR801,pm25,24.5,µg/m³
49,Antwerpen,BE,2019-05-20 03:00:00+00:00,BETR801,pm25,15.0,µg/m³
50,Antwerpen,BE,2019-05-20 02:00:00+00:00,BETR801,pm25,18.5,µg/m³
51,Antwerpen,BE,2019-05-20 01:00:00+00:00,BETR801,pm25,28.0,µg/m³
52,Antwerpen,BE,2019-05-19 21:00:00+00:00,BETR801,pm25,35.5,µg/m³
53,Antwerpen,BE,2019-05-19 20:00:00+00:00,BETR801,pm25,40.0,µg/m³
54,Antwerpen,BE,2019-05-19 19:00:00+00:00,BETR801,pm25,43.5,µg/m³
55,Antwerpen,BE,2019-05-19 18:00:00+00:00,BETR801,pm25,35.0,µg/m³
56,Antwerpen,BE,2019-05-19 17:00:00+00:00,BETR801,pm25,34.0,µg/m³
57,Antwerpen,BE,2019-05-19 16:00:00+00:00,BETR801,pm25,36.5,µg/m³
58,Antwerpen,BE,2019-05-19 15:00:00+00:00,BETR801,pm25,44.0,µg/m³
59,Antwerpen,BE,2019-05-19 14:00:00+00:00,BETR801,pm25,43.5,µg/m³
60,Antwerpen,BE,2019-05-19 13:00:00+00:00,BETR801,pm25,46.0,µg/m³
61,Antwerpen,BE,2019-05-19 12:00:00+00:00,BETR801,pm25,43.0,µg/m³
62,Antwerpen,BE,2019-05-19 11:00:00+00:00,BETR801,pm25,41.0,µg/m³
63,Antwerpen,BE,2019-05-19 10:00:00+00:00,BETR801,pm25,41.5,µg/m³
64,Antwerpen,BE,2019-05-19 09:00:00+00:00,BETR801,pm25,42.5,µg/m³
65,Antwerpen,BE,2019-05-19 08:00:00+00:00,BETR801,pm25,51.5,µg/m³
66,Antwerpen,BE,2019-05-19 07:00:00+00:00,BETR801,pm25,56.0,µg/m³
67,Antwerpen,BE,2019-05-19 06:00:00+00:00,BETR801,pm25,58.5,µg/m³
68,Antwerpen,BE,2019-05-19 05:00:00+00:00,BETR801,pm25,60.0,µg/m³
69,Antwerpen,BE,2019-05-19 04:00:00+00:00,BETR801,pm25,56.5,µg/m³
70,Antwerpen,BE,2019-05-19 03:00:00+00:00,BETR801,pm25,52.5,µg/m³
71,Antwerpen,BE,2019-05-19 02:00:00+00:00,BETR801,pm25,51.5,µg/m³
72,Antwerpen,BE,2019-05-19 01:00:00+00:00,BETR801,pm25,52.0,µg/m³
73,Antwerpen,BE,2019-05-19 00:00:00+00:00,BETR801,pm25,49.5,µg/m³
74,Antwerpen,BE,2019-05-18 23:00:00+00:00,BETR801,pm25,45.5,µg/m³
75,Antwerpen,BE,2019-05-18 22:00:00+00:00,BETR801,pm25,42.0,µg/m³
76,Antwerpen,BE,2019-05-18 21:00:00+00:00,BETR801,pm25,40.5,µg/m³
77,Antwerpen,BE,2019-05-18 20:00:00+00:00,BETR801,pm25,41.0,µg/m³
78,Antwerpen,BE,2019-05-18 19:00:00+00:00,BETR801,pm25,36.5,µg/m³
79,Antwerpen,BE,2019-05-18 18:00:00+00:00,BETR801,pm25,37.0,µg/m³
80,Antwerpen,BE,2019-05-18 01:00:00+00:00,BETR801,pm25,24.0,µg/m³
81,Antwerpen,BE,2019-05-17 01:00:00+00:00,BETR801,pm25,13.5,µg/m³
82,Antwerpen,BE,2019-05-16 01:00:00+00:00,BETR801,pm25,11.0,µg/m³
83,Antwerpen,BE,2019-05-15 02:00:00+00:00,BETR801,pm25,12.5,µg/m³
84,Antwerpen,BE,2019-05-15 01:00:00+00:00,BETR801,pm25,13.0,µg/m³
85,Antwerpen,BE,2019-05-14 02:00:00+00:00,BETR801,pm25,4.0,µg/m³
86,Antwerpen,BE,2019-05-14 01:00:00+00:00,BETR801,pm25,4.0,µg/m³
87,Antwerpen,BE,2019-05-13 02:00:00+00:00,BETR801,pm25,5.5,µg/m³
88,Antwerpen,BE,2019-05-13 01:00:00+00:00,BETR801,pm25,5.0,µg/m³
89,Antwerpen,BE,2019-05-12 02:00:00+00:00,BETR801,pm25,6.0,µg/m³
90,Antwerpen,BE,2019-05-12 01:00:00+00:00,BETR801,pm25,6.0,µg/m³
91,Antwerpen,BE,2019-05-11 02:00:00+00:00,BETR801,pm25,19.5,µg/m³
92,Antwerpen,BE,2019-05-11 01:00:00+00:00,BETR801,pm25,17.0,µg/m³
93,Antwerpen,BE,2019-05-10 02:00:00+00:00,BETR801,pm25,13.5,µg/m³
94,Antwerpen,BE,2019-05-10 01:00:00+00:00,BETR801,pm25,11.5,µg/m³
95,Antwerpen,BE,2019-05-09 02:00:00+00:00,BETR801,pm25,3.5,µg/m³
96,Antwerpen,BE,2019-05-09 01:00:00+00:00,BETR801,pm25,4.5,µg/m³
97,Antwerpen,BE,2019-05-08 02:00:00+00:00,BETR801,pm25,14.0,µg/m³
98,Antwerpen,BE,2019-05-08 01:00:00+00:00,BETR801,pm25,14.5,µg/m³
99,Antwerpen,BE,2019-05-07 02:00:00+00:00,BETR801,pm25,14.0,µg/m³
100,Antwerpen,BE,2019-05-07 01:00:00+00:00,BETR801,pm25,12.5,µg/m³
101,Antwerpen,BE,2019-05-06 02:00:00+00:00,BETR801,pm25,10.5,µg/m³
102,Antwerpen,BE,2019-05-06 01:00:00+00:00,BETR801,pm25,10.0,µg/m³
103,Antwerpen,BE,2019-05-05 02:00:00+00:00,BETR801,pm25,3.0,µg/m³
104,Antwerpen,BE,2019-05-05 01:00:00+00:00,BETR801,pm25,5.0,µg/m³
105,Antwerpen,BE,2019-05-04 02:00:00+00:00,BETR801,pm25,4.5,µg/m³
106,Antwerpen,BE,2019-05-04 01:00:00+00:00,BETR801,pm25,4.0,µg/m³
107,Antwerpen,BE,2019-05-03 02:00:00+00:00,BETR801,pm25,9.5,µg/m³
108,Antwerpen,BE,2019-05-03 01:00:00+00:00,BETR801,pm25,8.5,µg/m³
109,Antwerpen,BE,2019-05-02 02:00:00+00:00,BETR801,pm25,45.5,µg/m³
110,Antwerpen,BE,2019-05-02 01:00:00+00:00,BETR801,pm25,46.0,µg/m³
111,Antwerpen,BE,2019-05-01 02:00:00+00:00,BETR801,pm25,28.5,µg/m³
112,Antwerpen,BE,2019-05-01 01:00:00+00:00,BETR801,pm25,34.5,µg/m³
113,Antwerpen,BE,2019-04-30 02:00:00+00:00,BETR801,pm25,13.5,µg/m³
114,Antwerpen,BE,2019-04-30 01:00:00+00:00,BETR801,pm25,18.5,µg/m³
115,Antwerpen,BE,2019-04-29 02:00:00+00:00,BETR801,pm25,14.5,µg/m³
116,Antwerpen,BE,2019-04-29 01:00:00+00:00,BETR801,pm25,14.0,µg/m³
117,Antwerpen,BE,2019-04-28 02:00:00+00:00,BETR801,pm25,4.5,µg/m³
118,Antwerpen,BE,2019-04-28 01:00:00+00:00,BETR801,pm25,6.5,µg/m³
119,Antwerpen,BE,2019-04-27 02:00:00+00:00,BETR801,pm25,7.0,µg/m³
120,Antwerpen,BE,2019-04-27 01:00:00+00:00,BETR801,pm25,6.5,µg/m³
121,Antwerpen,BE,2019-04-26 02:00:00+00:00,BETR801,pm25,4.0,µg/m³
122,Antwerpen,BE,2019-04-26 01:00:00+00:00,BETR801,pm25,4.5,µg/m³
123,Antwerpen,BE,2019-04-25 02:00:00+00:00,BETR801,pm25,3.0,µg/m³
124,Antwerpen,BE,2019-04-25 01:00:00+00:00,BETR801,pm25,3.0,µg/m³
125,Antwerpen,BE,2019-04-24 02:00:00+00:00,BETR801,pm25,19.0,µg/m³
126,Antwerpen,BE,2019-04-24 01:00:00+00:00,BETR801,pm25,19.0,µg/m³
127,Antwerpen,BE,2019-04-23 02:00:00+00:00,BETR801,pm25,9.0,µg/m³
128,Antwerpen,BE,2019-04-23 01:00:00+00:00,BETR801,pm25,9.0,µg/m³
129,Antwerpen,BE,2019-04-22 02:00:00+00:00,BETR801,pm25,36.5,µg/m³
130,Antwerpen,BE,2019-04-22 01:00:00+00:00,BETR801,pm25,32.5,µg/m³
131,Antwerpen,BE,2019-04-21 02:00:00+00:00,BETR801,pm25,26.5,µg/m³
132,Antwerpen,BE,2019-04-21 01:00:00+00:00,BETR801,pm25,27.5,µg/m³
133,Antwerpen,BE,2019-04-20 02:00:00+00:00,BETR801,pm25,20.0,µg/m³
134,Antwerpen,BE,2019-04-20 01:00:00+00:00,BETR801,pm25,20.0,µg/m³
135,Antwerpen,BE,2019-04-19 01:00:00+00:00,BETR801,pm25,20.0,µg/m³
136,Antwerpen,BE,2019-04-18 02:00:00+00:00,BETR801,pm25,26.5,µg/m³
137,Antwerpen,BE,2019-04-18 01:00:00+00:00,BETR801,pm25,25.0,µg/m³
138,Antwerpen,BE,2019-04-17 03:00:00+00:00,BETR801,pm25,9.0,µg/m³
139,Antwerpen,BE,2019-04-17 02:00:00+00:00,BETR801,pm25,8.5,µg/m³
140,Antwerpen,BE,2019-04-17 01:00:00+00:00,BETR801,pm25,8.0,µg/m³
141,Antwerpen,BE,2019-04-16 02:00:00+00:00,BETR801,pm25,23.0,µg/m³
142,Antwerpen,BE,2019-04-16 01:00:00+00:00,BETR801,pm25,24.0,µg/m³
143,Antwerpen,BE,2019-04-15 15:00:00+00:00,BETR801,pm25,26.5,µg/m³
144,Antwerpen,BE,2019-04-15 14:00:00+00:00,BETR801,pm25,25.5,µg/m³
145,Antwerpen,BE,2019-04-15 13:00:00+00:00,BETR801,pm25,26.5,µg/m³
146,Antwerpen,BE,2019-04-15 12:00:00+00:00,BETR801,pm25,26.5,µg/m³
147,Antwerpen,BE,2019-04-15 11:00:00+00:00,BETR801,pm25,26.0,µg/m³
148,Antwerpen,BE,2019-04-15 10:00:00+00:00,BETR801,pm25,26.0,µg/m³
149,Antwerpen,BE,2019-04-15 09:00:00+00:00,BETR801,pm25,21.5,µg/m³
150,Antwerpen,BE,2019-04-15 08:00:00+00:00,BETR801,pm25,24.0,µg/m³
151,Antwerpen,BE,2019-04-15 07:00:00+00:00,BETR801,pm25,24.0,µg/m³
152,Antwerpen,BE,2019-04-15 06:00:00+00:00,BETR801,pm25,23.0,µg/m³
153,Antwerpen,BE,2019-04-15 05:00:00+00:00,BETR801,pm25,23.0,µg/m³
154,Antwerpen,BE,2019-04-15 04:00:00+00:00,BETR801,pm25,23.5,µg/m³
155,Antwerpen,BE,2019-04-15 03:00:00+00:00,BETR801,pm25,24.5,µg/m³
156,Antwerpen,BE,2019-04-15 02:00:00+00:00,BETR801,pm25,24.5,µg/m³
157,Antwerpen,BE,2019-04-15 01:00:00+00:00,BETR801,pm25,25.5,µg/m³
158,Antwerpen,BE,2019-04-12 02:00:00+00:00,BETR801,pm25,22.0,µg/m³
159,Antwerpen,BE,2019-04-12 01:00:00+00:00,BETR801,pm25,22.0,µg/m³
160,Antwerpen,BE,2019-04-11 02:00:00+00:00,BETR801,pm25,10.0,µg/m³
161,Antwerpen,BE,2019-04-11 01:00:00+00:00,BETR801,pm25,9.0,µg/m³
162,Antwerpen,BE,2019-04-10 02:00:00+00:00,BETR801,pm25,26.0,µg/m³
163,Antwerpen,BE,2019-04-10 01:00:00+00:00,BETR801,pm25,24.5,µg/m³
164,Antwerpen,BE,2019-04-09 13:00:00+00:00,BETR801,pm25,38.0,µg/m³
165,Antwerpen,BE,2019-04-09 12:00:00+00:00,BETR801,pm25,41.5,µg/m³
166,Antwerpen,BE,2019-04-09 11:00:00+00:00,BETR801,pm25,45.0,µg/m³
167,Antwerpen,BE,2019-04-09 10:00:00+00:00,BETR801,pm25,44.5,µg/m³
168,Antwerpen,BE,2019-04-09 09:00:00+00:00,BETR801,pm25,43.0,µg/m³
169,Antwerpen,BE,2019-04-09 08:00:00+00:00,BETR801,pm25,44.0,µg/m³
170,Antwerpen,BE,2019-04-09 07:00:00+00:00,BETR801,pm25,46.5,µg/m³
171,Antwerpen,BE,2019-04-09 06:00:00+00:00,BETR801,pm25,52.5,µg/m³
172,Antwerpen,BE,2019-04-09 05:00:00+00:00,BETR801,pm25,68.0,µg/m³
173,Antwerpen,BE,2019-04-09 04:00:00+00:00,BETR801,pm25,83.5,µg/m³
174,Antwerpen,BE,2019-04-09 03:00:00+00:00,BETR801,pm25,99.0,µg/m³
175,Antwerpen,BE,2019-04-09 02:00:00+00:00,BETR801,pm25,91.5,µg/m³
176,Antwerpen,BE,2019-04-09 01:00:00+00:00,BETR801,pm25,76.0,µg/m³
177,London,GB,2019-06-21 00:00:00+00:00,London Westminster,pm25,7.0,µg/m³
178,London,GB,2019-06-20 23:00:00+00:00,London Westminster,pm25,7.0,µg/m³
179,London,GB,2019-06-20 22:00:00+00:00,London Westminster,pm25,7.0,µg/m³
180,London,GB,2019-06-20 21:00:00+00:00,London Westminster,pm25,8.0,µg/m³
181,London,GB,2019-06-20 20:00:00+00:00,London Westminster,pm25,8.0,µg/m³
182,London,GB,2019-06-20 19:00:00+00:00,London Westminster,pm25,8.0,µg/m³
183,London,GB,2019-06-20 18:00:00+00:00,London Westminster,pm25,8.0,µg/m³
184,London,GB,2019-06-20 17:00:00+00:00,London Westminster,pm25,8.0,µg/m³
185,London,GB,2019-06-20 16:00:00+00:00,London Westminster,pm25,8.0,µg/m³
186,London,GB,2019-06-20 15:00:00+00:00,London Westminster,pm25,8.0,µg/m³
187,London,GB,2019-06-19 13:00:00+00:00,London Westminster,pm25,12.0,µg/m³
188,London,GB,2019-06-19 12:00:00+00:00,London Westminster,pm25,12.0,µg/m³
189,London,GB,2019-06-19 11:00:00+00:00,London Westminster,pm25,12.0,µg/m³
190,London,GB,2019-06-19 00:00:00+00:00,London Westminster,pm25,11.0,µg/m³
191,London,GB,2019-06-18 23:00:00+00:00,London Westminster,pm25,11.0,µg/m³
192,London,GB,2019-06-18 22:00:00+00:00,London Westminster,pm25,11.0,µg/m³
193,London,GB,2019-06-18 21:00:00+00:00,London Westminster,pm25,10.0,µg/m³
194,London,GB,2019-06-18 11:00:00+00:00,London Westminster,pm25,7.0,µg/m³
195,London,GB,2019-06-18 10:00:00+00:00,London Westminster,pm25,7.0,µg/m³
196,London,GB,2019-06-18 09:00:00+00:00,London Westminster,pm25,7.0,µg/m³
197,London,GB,2019-06-18 08:00:00+00:00,London Westminster,pm25,7.0,µg/m³
198,London,GB,2019-06-18 07:00:00+00:00,London Westminster,pm25,7.0,µg/m³
199,London,GB,2019-06-18 06:00:00+00:00,London Westminster,pm25,7.0,µg/m³
200,London,GB,2019-06-18 05:00:00+00:00,London Westminster,pm25,7.0,µg/m³
201,London,GB,2019-06-18 04:00:00+00:00,London Westminster,pm25,7.0,µg/m³
202,London,GB,2019-06-18 03:00:00+00:00,London Westminster,pm25,7.0,µg/m³
203,London,GB,2019-06-18 02:00:00+00:00,London Westminster,pm25,7.0,µg/m³
204,London,GB,2019-06-18 00:00:00+00:00,London Westminster,pm25,7.0,µg/m³
205,London,GB,2019-06-17 23:00:00+00:00,London Westminster,pm25,7.0,µg/m³
206,London,GB,2019-06-17 22:00:00+00:00,London Westminster,pm25,7.0,µg/m³
207,London,GB,2019-06-17 21:00:00+00:00,London Westminster,pm25,7.0,µg/m³
208,London,GB,2019-06-17 20:00:00+00:00,London Westminster,pm25,7.0,µg/m³
209,London,GB,2019-06-17 19:00:00+00:00,London Westminster,pm25,7.0,µg/m³
210,London,GB,2019-06-17 18:00:00+00:00,London Westminster,pm25,7.0,µg/m³
211,London,GB,2019-06-17 17:00:00+00:00,London Westminster,pm25,7.0,µg/m³
212,London,GB,2019-06-17 16:00:00+00:00,London Westminster,pm25,7.0,µg/m³
213,London,GB,2019-06-17 15:00:00+00:00,London Westminster,pm25,7.0,µg/m³
214,London,GB,2019-06-17 14:00:00+00:00,London Westminster,pm25,7.0,µg/m³
215,London,GB,2019-06-17 13:00:00+00:00,London Westminster,pm25,7.0,µg/m³
216,London,GB,2019-06-17 12:00:00+00:00,London Westminster,pm25,7.0,µg/m³
217,London,GB,2019-06-17 11:00:00+00:00,London Westminster,pm25,6.0,µg/m³
218,London,GB,2019-06-17 10:00:00+00:00,London Westminster,pm25,6.0,µg/m³
219,London,GB,2019-06-17 09:00:00+00:00,London Westminster,pm25,6.0,µg/m³
220,London,GB,2019-06-17 08:00:00+00:00,London Westminster,pm25,6.0,µg/m³
221,London,GB,2019-06-17 07:00:00+00:00,London Westminster,pm25,6.0,µg/m³
222,London,GB,2019-06-17 06:00:00+00:00,London Westminster,pm25,6.0,µg/m³
223,London,GB,2019-06-17 05:00:00+00:00,London Westminster,pm25,6.0,µg/m³
224,London,GB,2019-06-17 04:00:00+00:00,London Westminster,pm25,6.0,µg/m³
225,London,GB,2019-06-17 03:00:00+00:00,London Westminster,pm25,6.0,µg/m³
226,London,GB,2019-06-17 02:00:00+00:00,London Westminster,pm25,6.0,µg/m³
227,London,GB,2019-06-17 01:00:00+00:00,London Westminster,pm25,6.0,µg/m³
228,London,GB,2019-06-17 00:00:00+00:00,London Westminster,pm25,6.0,µg/m³
229,London,GB,2019-06-16 23:00:00+00:00,London Westminster,pm25,6.0,µg/m³
230,London,GB,2019-06-16 21:00:00+00:00,London Westminster,pm25,6.0,µg/m³
231,London,GB,2019-06-16 20:00:00+00:00,London Westminster,pm25,6.0,µg/m³
232,London,GB,2019-06-16 19:00:00+00:00,London Westminster,pm25,6.0,µg/m³
233,London,GB,2019-06-16 18:00:00+00:00,London Westminster,pm25,6.0,µg/m³
234,London,GB,2019-06-16 17:00:00+00:00,London Westminster,pm25,6.0,µg/m³
235,London,GB,2019-06-16 16:00:00+00:00,London Westminster,pm25,6.0,µg/m³
236,London,GB,2019-06-16 15:00:00+00:00,London Westminster,pm25,6.0,µg/m³
237,London,GB,2019-06-16 14:00:00+00:00,London Westminster,pm25,6.0,µg/m³
238,London,GB,2019-06-16 13:00:00+00:00,London Westminster,pm25,6.0,µg/m³
239,London,GB,2019-06-16 12:00:00+00:00,London Westminster,pm25,7.0,µg/m³
240,London,GB,2019-06-16 11:00:00+00:00,London Westminster,pm25,7.0,µg/m³
241,London,GB,2019-06-16 10:00:00+00:00,London Westminster,pm25,7.0,µg/m³
242,London,GB,2019-06-16 09:00:00+00:00,London Westminster,pm25,7.0,µg/m³
243,London,GB,2019-06-16 08:00:00+00:00,London Westminster,pm25,7.0,µg/m³
244,London,GB,2019-06-16 07:00:00+00:00,London Westminster,pm25,7.0,µg/m³
245,London,GB,2019-06-16 06:00:00+00:00,London Westminster,pm25,7.0,µg/m³
246,London,GB,2019-06-16 05:00:00+00:00,London Westminster,pm25,7.0,µg/m³
247,London,GB,2019-06-16 04:00:00+00:00,London Westminster,pm25,7.0,µg/m³
248,London,GB,2019-06-16 03:00:00+00:00,London Westminster,pm25,7.0,µg/m³
249,London,GB,2019-06-16 02:00:00+00:00,London Westminster,pm25,7.0,µg/m³
250,London,GB,2019-06-16 01:00:00+00:00,London Westminster,pm25,7.0,µg/m³
251,London,GB,2019-06-16 00:00:00+00:00,London Westminster,pm25,7.0,µg/m³
252,London,GB,2019-06-15 23:00:00+00:00,London Westminster,pm25,7.0,µg/m³
253,London,GB,2019-06-15 22:00:00+00:00,London Westminster,pm25,7.0,µg/m³
254,London,GB,2019-06-15 21:00:00+00:00,London Westminster,pm25,7.0,µg/m³
255,London,GB,2019-06-15 20:00:00+00:00,London Westminster,pm25,7.0,µg/m³
256,London,GB,2019-06-15 19:00:00+00:00,London Westminster,pm25,7.0,µg/m³
257,London,GB,2019-06-15 18:00:00+00:00,London Westminster,pm25,7.0,µg/m³
258,London,GB,2019-06-15 17:00:00+00:00,London Westminster,pm25,7.0,µg/m³
259,London,GB,2019-06-15 16:00:00+00:00,London Westminster,pm25,7.0,µg/m³
260,London,GB,2019-06-15 15:00:00+00:00,London Westminster,pm25,7.0,µg/m³
261,London,GB,2019-06-15 14:00:00+00:00,London Westminster,pm25,7.0,µg/m³
262,London,GB,2019-06-15 13:00:00+00:00,London Westminster,pm25,7.0,µg/m³
263,London,GB,2019-06-15 12:00:00+00:00,London Westminster,pm25,7.0,µg/m³
264,London,GB,2019-06-15 11:00:00+00:00,London Westminster,pm25,7.0,µg/m³
265,London,GB,2019-06-15 10:00:00+00:00,London Westminster,pm25,7.0,µg/m³
266,London,GB,2019-06-15 09:00:00+00:00,London Westminster,pm25,8.0,µg/m³
267,London,GB,2019-06-15 08:00:00+00:00,London Westminster,pm25,7.0,µg/m³
268,London,GB,2019-06-15 07:00:00+00:00,London Westminster,pm25,7.0,µg/m³
269,London,GB,2019-06-15 06:00:00+00:00,London Westminster,pm25,7.0,µg/m³
270,London,GB,2019-06-15 05:00:00+00:00,London Westminster,pm25,7.0,µg/m³
271,London,GB,2019-06-15 04:00:00+00:00,London Westminster,pm25,7.0,µg/m³
272,London,GB,2019-06-15 00:00:00+00:00,London Westminster,pm25,6.0,µg/m³
273,London,GB,2019-06-14 23:00:00+00:00,London Westminster,pm25,6.0,µg/m³
274,London,GB,2019-06-14 22:00:00+00:00,London Westminster,pm25,6.0,µg/m³
275,London,GB,2019-06-14 21:00:00+00:00,London Westminster,pm25,6.0,µg/m³
276,London,GB,2019-06-14 20:00:00+00:00,London Westminster,pm25,6.0,µg/m³
277,London,GB,2019-06-14 19:00:00+00:00,London Westminster,pm25,6.0,µg/m³
278,London,GB,2019-06-14 18:00:00+00:00,London Westminster,pm25,6.0,µg/m³
279,London,GB,2019-06-14 17:00:00+00:00,London Westminster,pm25,6.0,µg/m³
280,London,GB,2019-06-14 16:00:00+00:00,London Westminster,pm25,6.0,µg/m³
281,London,GB,2019-06-14 15:00:00+00:00,London Westminster,pm25,6.0,µg/m³
282,London,GB,2019-06-14 14:00:00+00:00,London Westminster,pm25,6.0,µg/m³
283,London,GB,2019-06-14 13:00:00+00:00,London Westminster,pm25,6.0,µg/m³
284,London,GB,2019-06-14 12:00:00+00:00,London Westminster,pm25,6.0,µg/m³
285,London,GB,2019-06-14 11:00:00+00:00,London Westminster,pm25,6.0,µg/m³
286,London,GB,2019-06-14 10:00:00+00:00,London Westminster,pm25,6.0,µg/m³
287,London,GB,2019-06-14 09:00:00+00:00,London Westminster,pm25,6.0,µg/m³
288,London,GB,2019-06-14 08:00:00+00:00,London Westminster,pm25,6.0,µg/m³
289,London,GB,2019-06-14 07:00:00+00:00,London Westminster,pm25,6.0,µg/m³
290,London,GB,2019-06-14 06:00:00+00:00,London Westminster,pm25,6.0,µg/m³
291,London,GB,2019-06-14 05:00:00+00:00,London Westminster,pm25,6.0,µg/m³
292,London,GB,2019-06-14 04:00:00+00:00,London Westminster,pm25,6.0,µg/m³
293,London,GB,2019-06-14 03:00:00+00:00,London Westminster,pm25,7.0,µg/m³
294,London,GB,2019-06-14 02:00:00+00:00,London Westminster,pm25,7.0,µg/m³
295,London,GB,2019-06-14 00:00:00+00:00,London Westminster,pm25,8.0,µg/m³
296,London,GB,2019-06-13 23:00:00+00:00,London Westminster,pm25,8.0,µg/m³
297,London,GB,2019-06-13 22:00:00+00:00,London Westminster,pm25,8.0,µg/m³
298,London,GB,2019-06-13 21:00:00+00:00,London Westminster,pm25,8.0,µg/m³
299,London,GB,2019-06-13 20:00:00+00:00,London Westminster,pm25,8.0,µg/m³
300,London,GB,2019-06-13 19:00:00+00:00,London Westminster,pm25,8.0,µg/m³
